name,type,area,direction,fitment,elevator,total_price,unit_price,property
里河新村中间楼层 业主已购新房 ，有钥匙随时可以看房,2室1厅,59.3,南,简装,无,139.6,23542,70
满5年税费少，一梯一户 ，带独立自行车库，看房有钥匙,3室1厅,110.52,南 北,简装,无,276,24973,70
次顶楼·采光刺眼· 户型好 房东诚心出售,3室1厅,72.26,南,精装,无,185,25602,70
房东诚心出售。居住温馨，拎包入住,3室1厅,85.42,南,精装,无,200,23414,70
新旅城三区86㎡多层中间楼层采光好210万,2室2厅,86.88,南,简装,无,210,24172,70
迎春华府精装小三房拎包入住 急售,3室2厅,85.89,南,精装,有,180,20958,70
产证满两年  洋房  楼层好  边套通透,3室2厅,84.89,南,精装,有,179,21087,70
新上一楼带院子 彩香二村 随时看房 有钥匙,1室1厅,43,南,简装,无,113,26280,70
南山金城1958 3室1厅 235万,3室1厅,88.9,南,精装,有,235,26435,70
湖滨花园 精装修三房拎包入住 业主诚意出售,3室2厅,131.28,西北,精装,有,257,19577,70
石湖万达精装大三房，诚心出售，随时看房,3室2厅,122,南,精装,有,324,26558,70
万达石湖旁吴逸花园，精装五房，带车库露台,5室3厅,168.3,南,精装,无,260,15449,70
拙政园旁，带20平院子，开门，敬文平江，随时看房,3室1厅,62.45,南,简装,无,162,25941,70
阳山小户 精装两房 带独立车库 房东诚意急售 随时看房,2室1厅,60.33,南,精装,无,130,21549,70
花园洋房 次顶层 满两年无增值税 诚心出售 看房随时,3室2厅,103.54,南,毛坯,有,286,27623,70
此房6月满二，产权清晰，户型好，精装，业主诚心,4室2厅,115.7,南,精装,有,327,28263,70
金辉融侨城3房带挑高，房东换房急售,4室2厅,95.45,南,毛坯,有,268,28078,70
盘溪新村  上沙苑  好房出售 楼层好面积 带独立10平米,3室2厅,89,南,精装,无,182,20450,70
满五唯一，有独库，毛坯房，看房随时有钥匙,3室2厅,140.54,南,毛坯,有,450,32020,70
极力热推，公园天下，5楼，精装，看房有钥匙,3室2厅,125.98,南,精装,无,330,26195,70
：新上劳动路110号精装修，带车库楼层好采光无遮挡,3室2厅,133,南 北,精装,无,370,27820,70
国基城邦 满二唯一  中间楼层 南北通 视野宽阔,3室2厅,91.45,南,毛坯,有,162,17715,70
满五年  采光好  诚心出售  随时看房  南北通透格局,4室2厅,111.97,南 北,精装,有,293,26168,70
